date, Aedes sp., Anopheles coustani, Anopheles funestus, Anopheles gambiae s.l., Anopheles maculipalpis, Anopheles pharoensis, Anopheles rufipes, Anopheles squamosus, Anopheles wellcomei, Anopheles ziemanni, Coquilettidia sp., Culex sp., Mansonia sp., NA, Taxon_TX
17/03/2021, 0, 11, 20, 92, 0, 3, 0, 0, 0, 0, 3, 151, 86, 0, 0
18/03/2021, 3, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 34, 3, 0, 0
19/03/2021, 0, 2, 0, 66, 0, 0, 0, 0, 0, 0, 0, 410, 0, 0, 0
24/03/2021, 3, 0, 9, 54, 0, 0, 0, 0, 0, 0, 1, 35, 96, 0, 0
25/03/2021, 1, 1, 3, 17, 0, 0, 0, 0, 0, 0, 0, 51, 8, 0, 0
26/03/2021, 0, 0, 0, 20, 0, 1, 0, 0, 0, 0, 0, 268, 0, 0, 0
07/04/2021, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
08/04/2021, 0, 0, 1, 11, 0, 0, 0, 0, 0, 0, 0, 152, 0, 0, 0
09/04/2021, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
13/04/2021, 0, 20, 15, 94, 0, 0, 0, 0, 0, 0, 7, 57, 53, 0, 0
14/04/2021, 1, 0, 1, 11, 0, 0, 0, 0, 0, 0, 0, 126, 2, 0, 0
15/04/2021, 1, 0, 1, 12, 0, 1, 0, 0, 0, 0, 0, 437, 0, 0, 0
19/04/2021, 0, 42, 24, 141, 0, 6, 0, 0, 0, 0, 3, 46, 60, 0, 0
20/04/2021, 0, 4, 1, 11, 0, 1, 0, 0, 0, 0, 0, 161, 2, 0, 0
21/04/2021, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 576, 0, 0, 0
26/04/2021, 0, 18, 36, 41, 0, 0, 0, 1, 0, 0, 1, 36, 60, 0, 0
27/04/2021, 0, 1, 2, 24, 0, 0, 0, 0, 0, 0, 0, 167, 0, 0, 0
28/04/2021, 0, 1, 0, 12, 0, 0, 0, 0, 0, 0, 0, 447, 0, 0, 0
03/05/2021, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
04/05/2021, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
05/05/2021, 0, 1, 0, 3, 0, 1, 0, 0, 0, 0, 0, 434, 1, 0, 0
10/05/2021, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
11/05/2021, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
12/05/2021, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
17/05/2021, 0, 11, 16, 86, 0, 0, 0, 1, 0, 0, 4, 90, 60, 0, 0
18/05/2021, 0, 1, 1, 4, 0, 0, 0, 0, 0, 0, 0, 281, 0, 0, 0
19/05/2021, 0, 0, 2, 6, 0, 0, 0, 0, 0, 0, 0, 413, 0, 0, 0
24/05/2021, 0, 20, 29, 40, 0, 0, 0, 0, 0, 0, 0, 63, 23, 0, 0
25/05/2021, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 179, 0, 0, 0
26/05/2021, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 437, 1, 0, 0
31/05/2021, 0, 10, 35, 19, 0, 0, 0, 0, 1, 0, 1, 12, 16, 0, 0
01/06/2021, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
02/06/2021, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
07/06/2021, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 122, 8, 0, 0
08/06/2021, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
09/06/2021, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
14/06/2021, 0, 19, 20, 15, 0, 1, 0, 0, 0, 0, 0, 34, 16, 0, 0
15/06/2021, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 213, 0, 0, 0
16/06/2021, 0, 0, 1, 14, 0, 0, 0, 0, 0, 0, 0, 226, 0, 0, 0
22/06/2021, 0, 19, 13, 54, 0, 2, 0, 0, 0, 0, 0, 30, 9, 0, 0
23/06/2021, 0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 159, 0, 0, 0
24/06/2021, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 178, 0, 0, 0
28/06/2021, 0, 18, 9, 53, 0, 1, 0, 0, 0, 0, 0, 83, 24, 0, 0
29/06/2021, 0, 4, 0, 4, 0, 0, 0, 0, 0, 0, 0, 89, 16, 0, 0
30/06/2021, 1, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 151, 0, 0, 0
05/07/2021, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
06/07/2021, 0, 20, 16, 12, 0, 1, 0, 0, 0, 0, 1, 26, 44, 0, 0
07/07/2021, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 124, 0, 0, 0
12/07/2021, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
13/07/2021, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 106, 0, 0, 0
14/07/2021, 0, 0, 1, 10, 0, 0, 0, 0, 0, 0, 0, 117, 0, 0, 0
19/07/2021, 0, 18, 9, 53, 0, 0, 0, 0, 0, 0, 0, 93, 4, 0, 0
20/07/2021, 0, 2, 0, 14, 0, 0, 0, 0, 0, 0, 0, 95, 0, 0, 0
21/07/2021, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 122, 0, 0, 0
26/07/2021, 0, 16, 11, 31, 0, 0, 0, 1, 0, 0, 0, 42, 26, 0, 0
27/07/2021, 0, 0, 1, 3, 0, 0, 0, 0, 0, 0, 0, 57, 0, 0, 0
28/07/2021, 2, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 127, 0, 0, 0
02/08/2021, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
03/08/2021, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
04/08/2021, 1, 9, 1, 18, 0, 2, 0, 0, 0, 0, 0, 94, 10, 0, 0
09/08/2021, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10/08/2021, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
11/08/2021, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
16/08/2021, 0, 10, 6, 40, 0, 1, 0, 0, 0, 0, 1, 52, 20, 0, 0
17/08/2021, 1, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 107, 0, 0, 0
18/08/2021, 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 99, 0, 0, 0
